img_id,color_vec,human_check
Hanover_Hamburg_0,"[0.0, 0.8455882352941176, 0.15441176470588236, 0.0]",1
Hanover_Hamburg_1,"[0.0, 1.0, 0.0, 0.0]",1
Hanover_Hamburg_2,"[0.12580645161290321, 0.8741935483870967, 0.0, 0.0]",1
Hanover_Hamburg_3,"[0.14495412844036698, 0.8550458715596331, 0.0, 0.0]",1
Hanover_Hamburg_4,"[0.7677902621722846, 0.23220973782771537, 0.0, 0.0]",0
Hanover_Hamburg_5,"[0.5380530973451327, 0.2628318584070796, 0.19911504424778761, 0.0]",1
Hanover_Hamburg_6,"[0.39421338155515373, 0.5298372513562387, 0.0759493670886076, 0.0]",0
Hanover_Hamburg_7,"[0.8114143920595533, 0.18858560794044665, 0.0, 0.0]",0
Hanover_Hamburg_8,"[0.9248979591836735, 0.07510204081632653, 0.0, 0.0]",1
Hanover_Hamburg_9,"[1.0, 0.0, 0.0, 0.0]",1
Hanover_Hamburg_10,"[0.840922890103218, 0.15907710989678203, 0.0, 0.0]",1
Hanover_Hamburg_11,"[1.0, 0.0, 0.0, 0.0]",1
Hanover_Hamburg_12,"[1.0, 0.0, 0.0, 0.0]",1
Hanover_Hamburg_13,"[1.0, 0.0, 0.0, 0.0]",1
Hanover_Hamburg_14,"[1.0, 0.0, 0.0, 0.0]",1
Hanover_Hamburg_15,"[0.9827949438202247, 0.01720505617977528, 0.0, 0.0]",1
Hanover_Hamburg_16,"[0.0, 0.7864077669902912, 0.21359223300970873, 0.0]",0
Hanover_Hamburg_17,"[0.902264600715137, 0.09773539928486293, 0.0, 0.0]",1
Hanover_Hamburg_18,"[0.3902932254802831, 0.6097067745197169, 0.0, 0.0]",1
Hanover_Hamburg_19,"[0.7140439932318104, 0.2859560067681895, 0.0, 0.0]",1
Hanover_Hamburg_20,"[0.0, 0.9662162162162162, 0.033783783783783786, 0.0]",1
Hanover_Hamburg_21,"[0.0, 0.8379888268156425, 0.16201117318435754, 0.0]",1
